dataset,hidden_size,k_top,initialization,test_loss,dead_neurons,dead_neuron_pct,active_features,mean_activation_freq,mean_activation_strength
mnist,256,60,Complete,0.03999917281907983,121,47.265625,135,0.22167356,1.4064923262137368
mnist,256,70,SAE,0.12604051511734723,149,58.203125,107,0.2147978,0.0807729737711287
mnist,256,70,SAE_Init,0.09271980375051499,94,36.71875,162,0.2685712,0.0788338664735173
mnist,256,70,Complete,0.03409203115734272,101,39.453125,155,0.24483126,1.26944713329656
mnist,256,80,SAE,0.1347626132890582,157,61.328125,99,0.21673015,0.08148404184465456
mnist,256,80,SAE_Init,0.08333435244858264,89,34.765625,167,0.2935381,0.07849843515652026
mnist,256,80,Complete,0.03004487063444685,81,31.640625,175,0.27047354,0.9880911741379116
mnist,256,90,SAE,0.13478602804243564,157,61.328125,99,0.21491562,0.08128811648548251
mnist,256,90,SAE_Init,0.07524150712415575,76,29.6875,180,0.3173259,0.0772364489837653
mnist,256,90,Complete,0.026821157659287564,71,27.734375,185,0.2850937,0.7822602505644632
mnist,256,100,SAE,0.13336074985563756,156,60.9375,100,0.21663204,0.0805197436735034
mnist,256,100,SAE_Init,0.07018189709633589,70,27.34375,186,0.3212874,0.077840147935535
mnist,256,100,Complete,0.02570983978221193,70,27.34375,186,0.30088302,0.746118967065848
mnist,256,110,SAE,0.13753938414156436,159,62.109375,97,0.21490657,0.08106712954714126
mnist,256,110,SAE_Init,0.08026271592825651,91,35.546875,165,0.3217442,0.07789738128582636
mnist,256,110,Complete,0.02952662303869147,92,35.9375,164,0.30021095,1.1455985151299435
mnist,256,120,SAE,0.1327564401552081,155,60.546875,101,0.21763653,0.08049565269657881
mnist,256,120,SAE_Init,0.08699533063918352,105,41.015625,151,0.31275365,0.08012044133729493
mnist,256,120,Complete,0.03267575455538463,105,41.015625,151,0.28271127,1.3210132665784153
olivetti,256,5,SAE,0.511515200138092,234,91.40625,22,0.01953125,0.19263092428445816
olivetti,256,5,SAE_Init,0.46771660447120667,209,81.640625,47,0.019494629,0.3496954060615377
olivetti,256,5,Complete,0.0030166308085123696,209,81.640625,47,0.019506836,0.3561064664353716
olivetti,256,10,SAE,0.45262964566548664,219,85.546875,37,0.0390625,0.13253839676444595
olivetti,256,10,SAE_Init,0.42021312316258747,183,71.484375,73,0.0390625,0.25330338963907056
olivetti,256,10,Complete,0.0027265424529711404,185,72.265625,71,0.0390625,0.25549940177252595
olivetti,256,20,SAE,0.37432849407196045,196,76.5625,60,0.07807617,0.08966194062183301
olivetti,256,20,SAE_Init,0.39041028420130414,154,60.15625,102,0.078125,0.18397536333285125
olivetti,256,20,Complete,0.0024810973554849625,161,62.890625,95,0.078125,0.18090247268739498
olivetti,256,30,SAE,0.3680243492126465,186,72.65625,70,0.1105835,0.05377775984151023
olivetti,256,30,SAE_Init,0.3539862235387166,134,52.34375,122,0.1171875,0.1439744765396978
olivetti,256,30,Complete,0.0023103910498321056,143,55.859375,113,0.1171875,0.14254748392685324
olivetti,256,40,SAE,0.3937811454137166,172,67.1875,84,0.10385742,0.02740116100730596
olivetti,256,40,SAE_Init,0.33445409933725995,124,48.4375,132,0.15625,0.1261910486853484
olivetti,256,40,Complete,0.002118376277697583,123,48.046875,133,0.15625,0.126010744419313
olivetti,256,50,SAE,0.44609888394673664,205,80.078125,51,0.06762695,0.03365948704167215
olivetti,256,50,SAE_Init,0.3115304311116536,119,46.484375,137,0.1953125,0.11429461575772641
olivetti,256,50,Complete,0.0019953445298597217,118,46.09375,138,0.1953125,0.11324043091440546
olivetti,256,60,SAE,0.4539046088854472,208,81.25,48,0.06763916,0.03766291384878665
olivetti,256,60,SAE_Init,0.2926752169926961,108,42.1875,148,0.234375,0.10505942572411653
olivetti,256,60,Complete,0.0018742496225362022,113,44.140625,143,0.23437501,0.10453083157747775
olivetti,256,70,SAE,0.4740626911322276,199,77.734375,57,0.06334229,0.02682216937363703
olivetti,256,70,SAE_Init,0.2843562364578247,105,41.015625,151,0.2734375,0.0974750066829833
olivetti,256,70,Complete,0.0018031751581778128,106,41.40625,150,0.2734375,0.09875569850206375
olivetti,256,80,SAE,0.49281471967697144,199,77.734375,57,0.065698236,0.02788216434419155
